field_name,data_models
ai_confidence,Enrichment
ai_reasoning,Enrichment
ai_verdict,Enrichment
additional_answer_count,DNS
answer,DNS
answer_count,DNS
app,System
app_id,Data Access
array,Inventory
authentication_method,Authentication
authentication_service,Authentication
auth_result,Authentication
auth_type,Authentication
authority_answer_count,DNS
availability,Databases
avg_executions,Databases
blocksize,Inventory
buffer_cache_hit_ratio,Databases
bugtraq,Vulnerability
bytes,Network
bytes_in,Network
bytes_out,Network
cached,Web
category,Data Loss Prevention
cert,Vulnerability
change_type,System
channel,Network
cloud_account_id,Cloud
cloud_account_name,Cloud
cloud_provider,Cloud
cloud_region,Cloud
cloud_service,Cloud
cluster,Inventory
command,Endpoint
command_line,Endpoint
commits,Databases
cookie,Web
cpu_cores,Inventory
cpu_count,Inventory
cpu_load_mhz,Performance
cpu_load_percent,Endpoint
cpu_mhz,Inventory
cpu_used,Databases
cpu_user_percent,Performance
creation_time,Endpoint
cursor,Databases
custom_dest_ip_risk,Custom Enrichment
custom_dest_ip_tags,Custom Enrichment
custom_domain_risk,Custom Enrichment
custom_domain_tags,Custom Enrichment
custom_hash_risk,Custom Enrichment
custom_hash_tags,Custom Enrichment
custom_ioc_dest_ip_confidence,Custom Enrichment
custom_ioc_dest_ip_malware,Custom Enrichment
custom_ioc_dest_ip_threat_type,Custom Enrichment
custom_ioc_domain_confidence,Custom Enrichment
custom_ioc_domain_threat_type,Custom Enrichment
custom_ioc_hash_confidence,Custom Enrichment
custom_ioc_hash_threat_type,Custom Enrichment
custom_ioc_src_ip_confidence,Custom Enrichment
custom_ioc_src_ip_malware,Custom Enrichment
custom_ioc_src_ip_threat_type,Custom Enrichment
custom_src_ip_risk,Custom Enrichment
custom_src_ip_tags,Custom Enrichment
custom_url_risk,Custom Enrichment
custom_url_tags,Custom Enrichment
cve,Vulnerability
cvss,Vulnerability
date,System
delay,Email
description,Alerts
dest,Alerts
dest_dns,Network
dest_host,Network
dest_interface,Network
dest_ip,Network
dest_ip_range,Network
dest_mac,Network
dest_name,Data Access
dest_nt_domain,Authentication
dest_nt_host,Network
dest_port,Network
dest_port_range,Network
dest_user,Authentication
dest_user_identity_account_status,Enrichment
dest_user_identity_company,Enrichment
dest_user_identity_country,Enrichment
dest_user_identity_department,Enrichment
dest_user_identity_display_name,Enrichment
dest_user_identity_email,Enrichment
dest_user_identity_employee_id,Enrichment
dest_user_identity_employee_type,Enrichment
dest_user_identity_groups,Enrichment
dest_user_identity_manager,Enrichment
dest_user_identity_manager_upn,Enrichment
dest_user_identity_mfa_enabled,Enrichment
dest_user_identity_office_location,Enrichment
dest_user_identity_phone,Enrichment
dest_user_identity_title,Enrichment
dest_translated_ip,Network
dest_translated_port,Network
dest_type,Alerts
dest_url,Data Access
